Date,Alternatives - Global Macro,Alternative - Liquid Alts,Alternatives - Hedge Funds,Cash,Commodities - Commodities ex Precious Metals,Commodities - Gold,Equity - Asia ex Japan (USD),Equity - EU (USD),Equity - Japan (USD),Equity - China A (USD),Equity - US Large Cap,Equity - US Large Cap Growth,Equity - US Large Cap Value,Equity - US Small Cap,Equity - Global ex US (USD),Equity - EM (USD),Fixed Income -Mortgage-Backed Assets,Fixed Income - US High Yield,Fixed Income - US Investment Grade,Fixed Income - EM (USD),Fixed Income - US Treasury,Fixed Income - EUR Treasury,Fixed Income - EM Local CCY (USD Hedge),Fixed Income - GBP Gilts,Finxed Income - CAD,Fixed Income - AUD,Fixed Income - JPY,Fixed Income - MUST DELETE,Equity - Preferred Stock,Equity - REIT,Fixed Income - Aggregate,Fixed Income - Short Duration,Fixed Income - Sovereign & Agency,Fixed Income - Municipals,Equity - Emerging Markets,Fixed Income - China Treasury
2014-06,,0.62564,,-0.00306,-0.63137,6.10246,2.36903,-0.01359,4.81433,,2.06575,1.40372,2.2491,5.05636,1.68265,1.24519,0.26225,0.83523,0.22791,0.35572,-0.13195,1.19184,3.19299,-0.54835,0.23073,0.92296,0.28492,0.50594,0.57612,1.3632,0.72772,-0.01401,0.04556,0.08659,2.19927,1.3414
2014-07,,-0.65375,,0.00153,-5.34413,-3.06514,3.84346,-3.78502,2.08367,,-1.37909,-0.84865,-1.16853,-4.5999,-0.99262,0.4054,-0.5867,-1.33341,-0.18883,0.37942,-0.16139,0.02981,1.74756,1.09889,0.69897,0.34762,0.15661,-0.80392,-0.38078,0.33387,-0.90137,-0.08504,-0.04815,0.17633,3.33596,-0.02242
2014-08,,0.85853,,-0.00229,-1.05569,0.36093,0.7222,0.14411,-1.14121,,4.0005,4.21297,3.42877,5.65443,0.55425,0.79381,0.93654,1.58519,1.09032,0.80585,1.0149,0.97335,-5.10268,3.62754,1.12405,1.213,0.33251,0.42196,1.72279,1.52502,0.5483,0.17263,1.13616,1.21067,1.72,1.26189
2014-09,,-0.90249,,0.00459,-5.97105,-5.88626,-5.86164,-3.86827,4.61208,,-1.40236,-0.77987,-1.29896,-4.52912,-4.84351,-2.34061,-0.16165,-2.09388,-0.93888,-2.06131,-0.52325,0.44687,0.86971,-0.73061,-0.72992,-0.51132,0.06248,1.5336,-0.76564,-6.18189,-2.79059,-0.05986,-0.90874,0.10168,-6.53089,1.3853
2014-10,,-0.12359,,0.00306,-0.23456,-3.30013,1.95488,-2.89238,0.87946,,2.44251,2.5777,1.74161,3.88111,-0.98981,-1.31438,0.9683,1.18904,1.0075,1.88361,0.94257,0.54455,2.07092,1.38015,0.58433,1.2554,0.4653,2.11816,1.12672,6.6521,0.01387,0.25552,1.00323,0.68566,1.55551,2.38394
2014-11,,0.98268,,0.00076,-4.67773,0.26048,0.31097,2.70482,5.48815,,2.68947,3.11517,2.16291,1.94826,0.72342,-0.02815,0.65473,-0.72841,0.37436,0.05027,0.78065,0.33628,2.92755,3.34999,1.55482,1.64247,0.62428,1.74382,1.28699,0.86989,-0.36507,0.1561,0.63196,0.17298,-0.59901,1.22368
2014-12,,-1.58552,,0.00153,-9.17437,0.73475,-2.05484,-4.27983,-0.38315,,-0.25191,-1.38606,0.55605,0.86643,-3.60558,-2.49519,0.15489,-1.44767,-0.94685,-2.34836,0.13089,-1.28444,-2.07787,1.88665,0.65517,1.85827,1.04528,-0.36362,-0.25794,0.45855,-0.68853,-0.26121,-0.12259,0.50456,-4.33536,-1.6307
2015-01,,0.36384,,0.00612,-5.64315,7.95643,2.51013,-0.23577,0.30166,,-3.00192,-1.46053,-5.11197,-1.48903,-0.14818,-0.97153,0.84834,0.66069,1.83857,1.00054,2.49739,1.05126,0.66894,4.97731,4.80094,2.10962,0.01365,1.18463,1.6037,4.94354,-0.15819,0.48665,1.88168,1.77239,0.53994,0.42181
2015-02,,1.52733,,-0.00229,4.1413,-5.166,1.90221,6.55876,7.84492,,5.74715,6.56603,5.17284,7.14129,5.34624,2.19147,-0.16253,2.41001,0.04901,0.88748,-1.48062,1.78724,9.09903,-4.55097,-0.12571,0.27978,-0.55754,1.17938,0.88938,-0.55686,-0.80975,-0.11711,-0.87831,-1.03154,3.62461,0.69482
2015-03,,0.1483,,0.00153,-5.76406,-2.55024,0.42496,-2.92123,1.89422,,-1.58145,-1.78874,-1.88406,1.56937,-1.6164,-0.63805,0.36992,-0.54728,0.30276,0.19176,0.61325,0.65872,0.999,2.17843,-0.35765,0.87924,0.05756,-1.64837,0.44457,-0.18167,-0.96387,0.22633,0.44658,0.28879,-0.89804,-0.14859
